Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,ticker,url
141.70,142.02,141.82 x 900,141.79 x 1000,140.92 - 142.07,104.88 - 144.93,"1,298,491","1,356,979",38.92B,0.30,20.41,6.94,2019-11-05 to 2019-11-11,3.87 (2.73%),2019-09-19,149.5,SRE,http://finance.yahoo.com/quote/SRE?p=SRE
233.61,232.82,234.24 x 1100,234.26 x 900,232.15 - 236.05,208.07 - 287.94,"2,240,650","3,751,852",222.12B,0.70,17.61,13.31,2019-10-14 to 2019-10-18,4.32 (1.85%),2019-09-13,294.58,UNH,http://finance.yahoo.com/quote/UNH?p=UNH
95.95,95.66,96.34 x 900,96.38 x 1100,95.12 - 96.41,90.28 - 112.51,"786,396","2,032,330",12.61B,0.72,25.89,3.72,2019-10-24,1.40 (1.45%),2019-09-05,109.07,CTXS,http://finance.yahoo.com/quote/CTXS?p=CTXS
167.71,167.04,166.01 x 900,165.96 x 1200,165.76 - 167.41,123.48 - 178.47,"1,751,761","2,570,530",119.6B,1.23,17.58,9.45,2019-10-17 to 2019-10-21,3.28 (1.96%),2019-08-15,183.84,HON,http://finance.yahoo.com/quote/HON?p=HON
71.53,71.03,70.95 x 1000,70.99 x 1000,70.76 - 71.40,53.43 - 73.00,"917,558","1,676,344",24.57B,1.39,10.45,6.79,2019-10-21 to 2019-10-25,1.28 (1.77%),2019-08-13,70.79,PCAR,http://finance.yahoo.com/quote/PCAR?p=PCAR
78.41,77.58,78.13 x 800,78.14 x 800,76.92 - 78.48,49.10 - 90.34,"2,815,913","10,720,426",95.03B,1.51,28.61,2.73,2019-11-06,2.48 (3.10%),2019-09-11,78.99,QCOM,http://finance.yahoo.com/quote/QCOM?p=QCOM
46.28,46.07,46.71 x 1000,46.73 x 900,45.82 - 46.77,32.03 - 48.03,"1,361,363","2,234,634",14.07B,0.79,66.82,0.70,2019-11-18 to 2019-11-22,1.40 (3.03%),2019-07-11,43.75,CPB,http://finance.yahoo.com/quote/CPB?p=CPB
384.86,388.90,392.07 x 800,392.19 x 1000,386.89 - 394.60,241.18 - 394.60,"1,286,595","1,056,671",110.9B,1.18,19.14,20.52,2019-10-21 to 2019-10-25,8.80 (2.29%),2019-08-30,395.53,LMT,http://finance.yahoo.com/quote/LMT?p=LMT
60.80,60.82,60.84 x 900,60.86 x 800,60.52 - 60.90,49.23 - 62.22,"833,251","2,271,684",30.77B,0.36,21.13,2.88,2019-10-28 to 2019-11-01,1.88 (3.09%),2019-09-06,63.79,PEG,http://finance.yahoo.com/quote/PEG?p=PEG
41.63,41.43,41.94 x 1000,41.95 x 1000,41.15 - 41.97,36.45 - 52.07,"1,597,236","3,719,922",23.35B,1.02,18.05,2.32,2019-11-05,1.40 (3.36%),2019-08-21,49.3,ADM,http://finance.yahoo.com/quote/ADM?p=ADM
31.43,31.25,31.88 x 1300,31.90 x 800,31.09 - 31.99,26.01 - 53.41,"540,439","737,787",2B,1.34,14.38,2.22,2019-11-11 to 2019-11-15,0.84 (2.67%),2019-09-13,50.5,HI,http://finance.yahoo.com/quote/HI?p=HI
31.42,31.81,31.13 x 900,31.16 x 800,31.10 - 31.86,23.80 - 34.09,"261,068","283,611",2.58B,0.83,20.39,1.53,2019-11-05 to 2019-11-11,3.30 (10.56%),2019-08-05,31.92,SUN,http://finance.yahoo.com/quote/SUN?p=SUN
72.64,75.04,74.05 x 1200,74.06 x 900,73.60 - 75.18,64.65 - 87.36,"15,693,506","10,744,490",312.36B,1.21,17.79,4.15,2019-10-31 to 2019-11-04,3.48 (4.79%),2019-08-12,80.73,XOM,http://finance.yahoo.com/quote/XOM?p=XOM
124.32,124.03,123.90 x 800,123.94 x 1000,123.39 - 124.42,85.15 - 128.31,"759,492","1,268,131",29.94B,1.17,21.47,5.77,2019-10-22 to 2019-10-28,2.12 (1.71%),2019-09-05,134.19,IR,http://finance.yahoo.com/quote/IR?p=IR
177.27,176.17,176.10 x 800,176.14 x 900,175.51 - 177.18,121.60 - 187.05,"2,943,905","6,793,855",394.9B,0.81,33.85,5.21,2019-10-22 to 2019-10-28,1.00 (0.56%),2019-08-15,201.33,V,http://finance.yahoo.com/quote/V?p=V
89.81,89.89,89.92 x 800,89.93 x 900,89.51 - 90.20,73.30 - 91.58,"787,960","1,610,698",29.87B,0.18,21.43,4.20,2019-10-30 to 2019-11-04,2.96 (3.30%),2019-08-13,88.07,ED,http://finance.yahoo.com/quote/ED?p=ED
35.25,35.21,35.30 x 900,35.32 x 1000,34.91 - 35.45,20.64 - 35.55,"2,945,024","3,557,887",9.63B,0.49,10.68,3.29,2019-10-21 to 2019-10-25,0.44 (1.25%),2019-09-17,33.88,PHM,http://finance.yahoo.com/quote/PHM?p=PHM
146.25,144.94,143.53 x 800,143.40 x 800,143.23 - 145.75,106.41 - 155.22,"850,217","1,026,041",21.79B,1.51,32.36,4.44,2019-10-23 to 2019-10-28,2.76 (1.89%),2019-08-30,161.71,SWK,http://finance.yahoo.com/quote/SWK?p=SWK
78.28,77.95,77.10 x 1400,77.11 x 1300,76.99 - 78.45,59.44 - 78.45,"2,639,814","2,675,119",39.61B,0.61,24.12,3.20,2019-11-04 to 2019-11-08,1.56 (1.99%),2019-10-03,74.67,SYY,http://finance.yahoo.com/quote/SYY?p=SYY
44.77,44.45,45.18 x 1800,45.19 x 1800,44.15 - 45.24,38.08 - 52.82,"1,840,070","2,364,149",8B,1.52,10.88,4.15,2019-10-21 to 2019-10-25,1.36 (3.04%),2019-08-14,48.83,ZION,http://finance.yahoo.com/quote/ZION?p=ZION
99.67,99.05,99.14 x 800,99.18 x 1100,99.00 - 99.93,65.83 - 103.47,"371,522","913,026",14.43B,1.73,24.28,4.09,2019-10-16 to 2019-10-21,1.96 (1.97%),2019-08-29,107.55,DOV,http://finance.yahoo.com/quote/DOV?p=DOV
